iter	Passed	Remaining
964	20232	733
965	20252	712
966	20272	691
967	20294	670
968	20314	649
969	20333	628
970	20352	607
971	20373	586
972	20393	565
973	20415	544
974	20438	524
975	20461	503
976	20485	482
977	20509	461
978	20532	440
979	20555	419
980	20578	398
981	20601	377
982	20623	356
983	20647	335
984	20670	314
985	20694	293
986	20717	272
987	20738	251
988	20757	230
989	20777	209
990	20797	188
991	20818	167
992	20838	146
993	20858	125
994	20878	104
995	20898	83
996	20918	62
997	20938	41
998	20959	20
999	20979	0
